,t (s),x (mm),y (mm),angle (°)
0,0.0,1336.6566624383267,2629.7989863858493,-166.6883851837748
1,0.03342293906810036,1413.7252996613279,2615.676856250262,-158.88966238698805
2,0.06684587813620071,1346.511567014773,2588.9974600975875,-162.06219736256398
3,0.10026881720430107,1334.8557133983804,2628.9529794827276,-166.72613443882634
4,0.13369175627240143,1336.311559178942,2625.6154099725795,-166.5632028474574
5,0.16711469534050177,1334.9659297583473,2630.008121751338,-166.61881293440405
6,0.20053763440860214,1336.311559178942,2625.6154099725795,-166.5632028474574
7,0.23396057347670252,1336.3697298140164,2629.469518013371,-166.49111379224234
8,0.26738351254480286,1334.4897690765083,2631.9578217035714,-166.55757633554495
9,0.3008064516129032,1355.5336582278894,2595.4971679078362,-161.648441486563
10,0.33422939068100355,1334.788817477114,2632.3934114206263,-166.5951439657173
11,0.36765232974910395,1333.2452291612594,2631.842515593372,-166.8287375286056
12,0.4010752688172043,1333.2452291612594,2631.842515593372,-166.8287375286056
13,0.43449820788530463,1333.522356838423,2634.0619752830385,-166.86671504503835
14,0.46792114695340503,1336.8157743908146,2631.0429277810395,-166.67091881661463
15,0.5013440860215054,1332.785368198674,2633.3622993635536,-167.49320342397817
16,0.5347670250896057,1336.259621056472,2626.7728846578016,-167.22680062679808
17,0.5681899641577061,1335.577195569105,2627.455427080132,-167.3555980292156
18,0.6016129032258064,1518.2057823038601,2560.6822148898127,-156.24205585214946
19,0.6350358422939067,1511.442210063752,2542.216633454351,-156.38499665739096
20,0.6684587813620071,1333.7580974548505,2630.6794424217233,-167.3761226175176
21,0.7018817204301075,1428.2355034199243,2575.6790269347553,-159.1669312861025
22,0.7353046594982079,1333.816333414752,2631.147886138416,-167.06940948645254
23,0.7687275985663082,1333.2733150783088,2630.8392718949062,-167.3649394413291
24,0.8021505376344086,1340.4680264818185,2650.8992556646776,-163.36117530090883
25,0.8355734767025089,1334.391289539663,2632.0652557824774,-167.33414871074856
26,0.8689964157706093,1330.9259663193534,2632.698247262296,-166.51005278241922
27,0.9024193548387096,1435.915563464951,2591.3542830165616,-158.68382480571412
28,0.9358422939068101,1448.2126907473785,2582.4370939841156,-158.50366082190664
29,0.9692652329749104,1419.0606636542993,2598.467760970575,-159.34665824452293
30,1.0026881720430108,1333.5789658844,2631.306641442982,-167.1509074121886
31,1.036111111111111,1402.171946292754,2610.6057874781804,-160.42230840349453
32,1.0695340501792114,1334.9795446800565,2630.441540075814,-167.35803219654383
33,1.102956989247312,1409.3571807524472,2620.8932812429875,-160.07575114597296
34,1.1363799283154121,1385.189794252717,2665.5872206201134,-161.42483664833662
35,1.1698028673835126,1429.2089909156175,2609.0282477415813,-159.37430914540377
36,1.2032258064516128,1329.0461725999257,2633.9355021441456,-167.23547191873627
37,1.2366487455197133,1334.8308616506024,2624.7790801471438,-167.8289144623812
38,1.2700716845878135,1424.0213907880525,2612.3910894127744,-159.8422808911209
39,1.303494623655914,1333.789911048647,2631.1989716976364,-168.1012390106231
40,1.3369175627240142,1384.0998739865777,2662.7121958682437,-161.5561607861343
41,1.3703405017921146,1374.4612665733223,2659.9442708766514,-162.3135025092456
42,1.403763440860215,1350.390419823911,2591.0142277987707,-162.71074154144074
43,1.4371863799283153,1506.3474715501966,2538.662709481583,-157.22377311056783
44,1.4706093189964158,1401.781510312544,2583.0772501125093,-160.86799349843255
45,1.504032258064516,1401.781510312544,2583.0772501125093,-160.86799349843255
46,1.5374551971326165,1508.1909674641042,2539.7806789388674,-157.60886692855303
47,1.5708781362007167,1352.6032694407377,2597.7193968973716,-162.74556819642555
48,1.6043010752688172,1333.9110569508125,2628.5378553658247,-168.28112399789316
49,1.6377240143369176,1308.8736270835293,2589.251242836578,-166.575754061203
50,1.6711469534050178,1309.6114014236302,2588.204258706508,-166.73671758812748
51,1.7045698924731183,1450.0611138435352,2571.5951988461065,-159.45837039519063
52,1.7379928315412185,1334.1201952204428,2630.6387283800786,-168.69803163639278
53,1.771415770609319,1334.2113453195002,2628.950546157749,-168.31773765137402
54,1.8048387096774192,1333.8670761312046,2630.6096750292054,-168.6259685043467
55,1.8382616487455197,1405.5795104940141,2619.2419603697394,-161.10098463892277
56,1.8716845878136201,1406.1604271466017,2619.2347798716455,-161.22660284033307
57,1.9051075268817204,1332.8124104947478,2628.0336538700867,-168.6305420759866
58,1.9385304659498208,1333.042446460154,2629.2294008062745,-168.6341431434334
59,1.971953405017921,1346.3641376336248,2585.6099955648715,-163.7833061415099
