,t (s),x (mm),y (mm),angle (°)
0,0.0,875.3150218805404,212.15421381408007,21.483768078945157
1,0.03344017094017094,875.3150218805404,212.15421381408007,21.483768078945157
2,0.06688034188034188,867.4980237166354,225.31520063585347,21.707201157619473
3,0.10032051282051282,866.6274765747606,224.5147447835583,21.710996647420046
4,0.13376068376068376,866.6274765747606,224.5147447835583,21.710996647420046
5,0.1672008547008547,869.0389115748426,228.08983850653402,21.48831770209394
6,0.20064102564102565,863.101354231335,225.6507020909419,21.887377956066782
7,0.23408119658119658,863.101354231335,225.6507020909419,21.887377956066782
8,0.2675213675213675,865.1592394728108,232.37061408507148,21.49233662547467
9,0.30096153846153845,862.21756484734,224.87735040639728,21.890981897101927
10,0.3344017094017094,862.21756484734,224.87735040639728,21.890981897101927
11,0.3678418803418803,862.21756484734,224.87735040639728,21.890981897101927
12,0.4012820512820513,865.4052973358499,220.21641238314433,21.892976925348606
13,0.43472222222222223,865.4052973358499,220.21641238314433,21.892976925348606
14,0.46816239316239316,872.4683038230131,221.91296496956315,21.496636786233697
15,0.5016025641025641,872.4683038230131,221.91296496956315,21.496636786233697
16,0.535042735042735,872.9322582132226,219.4171983735323,21.736242196676084
17,0.568482905982906,870.0754856044962,224.41954708760153,21.56869337486291
18,0.6019230769230769,872.9322582132226,219.4171983735323,21.736242196676084
19,0.6353632478632478,873.0339549438906,219.2847275921983,21.56867015747074
20,0.6688034188034188,873.0339549438906,219.2847275921983,21.56867015747074
21,0.7022435897435897,873.0339549438906,219.2847275921983,21.56867015747074
22,0.7356837606837606,869.5635016236937,223.08601765807313,21.74646863988042
23,0.7691239316239316,859.0623433510754,229.74369983933434,21.65893103062108
24,0.8025641025641026,867.4658564691282,221.9898583311884,21.51859841466365
25,0.8360042735042735,867.4658564691282,221.9898583311884,21.51859841466365
26,0.8694444444444445,870.5179203875063,213.35370650523822,21.273112885224798
27,0.9028846153846154,870.385771761099,213.55957463187602,21.097769669091612
28,0.9363247863247863,870.385771761099,213.55957463187602,21.097769669091612
29,0.9697649572649573,870.385771761099,213.55957463187602,21.097769669091612
30,1.0032051282051282,870.2727811588531,213.70239696315323,21.27473882031972
31,1.036645299145299,866.6181456887792,217.88356641189694,21.10078282405264
32,1.07008547008547,863.450092257662,221.4469368621611,21.097369081536364
33,1.103525641025641,866.7991556047464,216.54808729278253,20.923042284402477
34,1.136965811965812,866.677687306666,216.70173803654907,21.10042309441498
35,1.170405982905983,870.0626520104282,212.86070660101313,20.759428727659355
36,1.2038461538461538,870.0626520104282,212.86070660101313,20.759428727659355
37,1.2372863247863248,870.1374322965291,212.73089013577163,20.92525203933229
38,1.2707264957264957,875.3013053052116,213.39047610613804,20.855575937654667
39,1.3041666666666667,867.59633497675,216.600019355777,20.76245848885106
40,1.3376068376068375,867.59633497675,216.600019355777,20.76245848885106
41,1.3710470085470086,875.3013053052116,213.39047610613804,20.855575937654667
42,1.4044871794871794,875.3013053052116,213.39047610613804,20.855575937654667
43,1.4379273504273504,867.0411807177145,217.29983541119512,20.769103089727686
44,1.4713675213675212,866.9553056230019,217.44406539107442,20.60263362958365
45,1.5048076923076923,862.1094978811155,225.35141135929305,20.825001667765136
46,1.5382478632478631,861.2038429854074,230.70837380881648,20.846210821926462
47,1.5716880341880342,861.2038429854074,230.70837380881648,20.846210821926462
48,1.6051282051282052,867.0411807177145,217.29983541119512,20.769103089727686
49,1.638568376068376,872.4342572714545,212.76304333867628,20.794387734695977
50,1.672008547008547,878.0010706902588,209.31654041007624,20.866395560477933
51,1.7054487179487179,878.0010706902588,209.31654041007624,20.866395560477933
52,1.738888888888889,875.6151833717421,212.98140064321447,20.525982665995144
53,1.7723290598290597,864.3855520916601,227.72791022158302,20.93805483559366
54,1.8057692307692308,858.5379292334688,231.64384738131676,20.917950666818165
55,1.8392094017094016,858.5379292334688,231.64384738131676,20.917950666818165
56,1.8726495726495727,858.5379292334688,231.64384738131676,20.917950666818165
57,1.9060897435897435,868.4540636072812,227.73596808404668,20.762724250727945
58,1.9395299145299145,865.3249841583979,222.97203582937814,20.927527898151762
59,1.9729700854700853,871.8070848221105,222.98198407080582,20.76804193190593
60,2.0064102564102564,865.3249841583979,222.97203582937814,20.927527898151762
61,2.0398504273504274,865.3249841583979,222.97203582937814,20.927527898151762
62,2.073290598290598,865.3249841583979,222.97203582937814,20.927527898151762
63,2.106730769230769,861.5306551035317,227.26809726984686,20.762356285074336
64,2.14017094017094,867.6611102720623,217.53636662345343,20.592642814551205
65,2.173611111111111,867.7614512651165,217.37710964641383,20.75839239926287
66,2.207051282051282,867.6611102720623,217.53636662345343,20.592642814551205
67,2.240491452991453,867.6611102720623,217.53636662345343,20.592642814551205
68,2.273931623931624,867.6611102720623,217.53636662345343,20.592642814551205
69,2.307371794871795,864.1370170869099,221.50950964585974,20.4160557590586
70,2.340811965811966,864.1370170869099,221.50950964585974,20.4160557590586
71,2.3742521367521365,865.1330958463323,220.21091983498826,20.424001165006594
72,2.4076923076923076,858.3994612567493,231.53480630923684,20.00485881739583
73,2.4411324786324786,862.0802277677326,227.45553748942444,20.00547544472606
74,2.4745726495726497,858.3994612567493,231.53480630923684,20.00485881739583
75,2.5080128205128203,858.3994612567493,231.53480630923684,20.00485881739583
76,2.5414529914529913,861.3180826682917,226.61867125204006,19.83804359414632
77,2.5748931623931623,868.7677986183537,222.7340059535855,19.939080742213793
78,2.6083333333333334,862.2509857847166,222.7884386719284,20.09837070583364
79,2.641773504273504,865.5120434318903,218.06758918487807,19.93067044883648
