,t (s),x (mm),y (mm),angle (°)
0,0.0,606.3396944581032,427.0027249021315,91.92329868383588
1,0.033390903857225096,600.2771242385426,435.72085740545697,98.06913530971923
2,0.06678180771445019,595.5360393075985,435.41683215640546,105.03662488872342
3,0.10017271157167529,601.8080788197784,434.8743740451967,110.33703420939757
4,0.13356361542890038,591.3019554026248,441.95753925676473,115.96712127255049
5,0.16695451928612548,607.0448188328793,431.35104871409584,122.21458047880526
6,0.20034542314335058,591.592619369856,443.40032789669317,127.47944354319176
7,0.23373632700057567,591.1078969975099,443.3488593502597,135.10703316016878
8,0.26712723085780077,612.745657727193,421.3154938501479,140.32100788340355
9,0.30051813471502586,610.0638233168609,428.74717910761785,144.95911246884327
10,0.33390903857225096,608.0578814431495,425.1336961056047,149.128684433645
11,0.36729994242947606,603.526149232158,432.03329453198694,153.87080845745803
12,0.40069084628670115,600.896794818332,436.4873304409434,157.8155905856133
13,0.43408175014392625,603.9909626914977,433.18474516392604,161.45786748191824
14,0.46747265400115134,606.4429674063446,437.44542466055003,164.97131818588625
15,0.5008635578583764,596.6520339243631,450.34301383858315,168.20284256045397
16,0.5342544617156015,591.7595542349471,458.72441184936315,171.2952332823553
17,0.5676453655728266,590.8176904507578,460.71853174704404,174.85846424721927
18,0.6010362694300517,596.0522519025726,457.21508004943274,176.8548264541051
19,0.6344271732872768,610.357301677099,437.47843760589984,179.17857577695602
20,0.6678180771445019,594.9471146623736,459.63700183947424,-178.13987420050015
21,0.701208981001727,603.2469447744435,451.8338058342363,-176.09216103241388
22,0.7345998848589521,603.8937548633664,452.38306706186927,-174.10734189951063
23,0.7679907887161772,592.8071306571146,459.59343964778014,-171.21638109057614
24,0.8013816925734023,593.6063693408414,467.19784183515077,-169.87153318637345
25,0.8347725964306274,602.3250752188532,459.50356357936744,-167.84594451747495
26,0.8681635002878525,593.9312787252857,470.62593029071274,-165.62163385755673
27,0.9015544041450776,601.3856082893698,455.7024341500984,-164.16811385540373
28,0.9349453080023027,602.6551181244563,456.55411094775786,-162.6429496323038
29,0.9683362118595278,618.2847451271451,444.65998372106344,-160.45485651913418
30,1.0017271157167529,618.1286154078646,446.0367987166418,-158.4367976968562
31,1.035118019573978,619.6568363534191,447.67032288777125,-157.24151783063257
32,1.068508923431203,615.4448713175855,451.8449910657446,-154.98955619035084
33,1.1018998272884282,620.0005401803012,447.26091592432715,-153.34968885941433
34,1.1352907311456533,614.6717277235633,457.6322672503038,-152.08161519407864
35,1.1686816350028784,622.1530728697643,450.3667769912962,-149.59788779058044
36,1.2020725388601035,617.6170214189999,450.7620147264908,-147.70448260470283
37,1.2354634427173286,621.491045500588,448.09301066318574,-146.45812169191782
38,1.2688543465745536,625.433402877111,452.57764766861266,-143.94487084217863
39,1.3022452504317787,623.6615240093696,457.446996406947,-142.07802593526043
40,1.3356361542890038,615.8415515870013,464.81783068573213,-140.03522050327922
41,1.369027058146229,624.2214063314697,459.92307797549927,-138.00568413269716
42,1.402417962003454,628.4130669964089,456.637867638257,-135.96784195122265
43,1.4358088658606791,617.946833877778,464.31653915330173,-132.8036924893919
44,1.4691997697179042,631.4941645870035,456.2853639092073,-130.63908596199883
45,1.5025906735751293,622.2526865062272,471.2222324120433,-127.35727373857398
46,1.5359815774323544,630.3397334004749,462.72299669764556,-124.78386946835354
47,1.5693724812895795,618.8979057399537,468.6764895023872,-121.2982156235051
48,1.6027633851468046,625.5587833791664,462.52665853016475,-118.51050636514199
49,1.6361542890040297,632.5454136949187,463.0682383791428,-114.35205151007877
50,1.6695451928612548,639.4389206535732,455.07520244234036,-111.21060482963298
51,1.70293609671848,634.0947174592351,464.515421389093,-107.0529449861028
52,1.736327000575705,640.1070792870592,457.92352153522154,-103.18673509609829
53,1.76971790443293,643.1551484666452,457.06897447753414,-98.50051966132341
54,1.8031088082901552,641.4672851290278,459.8916432780099,-93.50986767334257
55,1.8364997121473803,651.709255447353,452.79916242532414,-88.4733551762703
56,1.8698906160046054,645.3670732935806,455.83396169327096,-82.76869432370687
57,1.9032815198618305,638.9697468239839,462.8500292963155,-77.20759647579314
58,1.9366724237190556,652.5686412313039,452.2243210348108,-71.42617162559523
59,1.9700633275762807,636.7283301646127,467.6988304277546,-65.29539598497627
60,2.0034542314335058,646.7501689003078,455.80419518507966,-59.97179489176409
61,2.036845135290731,648.5182998776643,461.6635512498477,-54.77529171422283
62,2.070236039147956,644.3674853929019,470.024286870376,-48.512286469831125
63,2.103626943005181,644.1375269999002,472.1207884354336,-43.734937702855575
64,2.137017846862406,652.37036376708,461.2085687596334,-39.4703409250514
