,t (s),x (mm),y (mm),angle (°)
0,0.0,960.5384502704786,665.3977913552667,-63.24086902276781
1,0.033411033411033415,961.181405814254,667.5690603922872,-63.59956487738947
2,0.06682206682206683,938.3807452240375,635.585786079147,-64.00792843728692
3,0.10023310023310025,950.5049024110568,649.5551749563838,-63.46336836398336
4,0.13364413364413366,937.2222969087609,637.6299633501221,-64.2785788277177
5,0.16705516705516707,943.9856927153653,669.3361393240762,-63.86519861742147
6,0.2004662004662005,955.650217127977,675.2997854888035,-63.87422957490986
7,0.23387723387723391,,,
8,0.2672882672882673,,,
9,0.30069930069930073,953.0192906423769,676.8105786223737,-63.91906736585986
10,0.33411033411033414,949.8710988987666,704.1324401190805,-64.9010264698868
11,0.36752136752136755,,,
12,0.400932400932401,939.56016929364,675.8444910020803,-63.98044083906501
13,0.4343434343434344,948.1635031077093,706.7251694539809,-64.9104762175408
14,0.46775446775446783,946.4640844178884,680.6405394393569,-64.34296517213158
15,0.5011655011655012,955.4216957183083,711.1639303517113,-64.64810391338744
16,0.5345765345765346,931.4863899019143,664.7370364152712,-64.95416280480993
17,0.5679875679875681,935.7719125715157,693.7363352686871,-64.14301747682475
18,0.6013986013986015,937.3288705080946,695.3203927676268,-64.56766767319527
19,0.6348096348096349,946.6851216884733,694.2548663469624,-65.68466827180237
20,0.6682206682206683,951.5081414522156,723.8821189821024,-65.28425807265558
21,0.7016317016317017,940.8590609493398,720.6186744642782,-64.91157539790163
22,0.7350427350427351,936.611076521661,717.2911269654369,-65.25174690460335
23,0.7684537684537686,935.6387782046064,713.5507625687819,-65.82850483186553
24,0.801864801864802,964.3514053592484,751.1182434476646,-65.47630350552828
25,0.8352758352758354,941.4231056003542,704.379706959684,-65.82955340602882
26,0.8686868686868688,910.7523429038545,682.7210922589311,-64.68184782155663
27,0.9020979020979022,939.466970911444,749.5621302900563,-65.25206502068136
28,0.9355089355089357,931.9912217472973,725.2166004512815,-65.70356324109554
29,0.968919968919969,967.1771620340455,781.6501073666491,-65.14014355504082
30,1.0023310023310024,933.3379765100593,751.74246059611,-65.28392436337856
31,1.035742035742036,925.1318647361372,725.1837615608647,-66.07508695318768
32,1.0691530691530693,936.7015642220186,769.52463970905,-66.10105624284597
33,1.1025641025641026,963.249018778335,789.1546810925806,-65.57790299958083
34,1.1359751359751362,934.3600781001942,757.186601804417,-65.28135813598863
35,1.1693861693861696,939.7276233116031,752.8811613239668,-66.53091340514146
36,1.202797202797203,936.6592591105617,776.3453987876605,-65.72818400428736
37,1.2362082362082363,,,
38,1.2696192696192699,946.5511010117473,778.734284006367,-66.78426803246094
39,1.3030303030303032,953.935927350253,807.617583046981,-65.99930721529086
40,1.3364413364413366,942.2551778941761,815.6830423590604,-67.10538433205073
41,1.3698523698523701,938.5123136014344,799.8342885478323,-66.60210522849076
42,1.4032634032634035,,,
43,1.4366744366744368,939.7601690166159,826.0458668542174,-66.18307342466721
44,1.4700854700854702,,,
45,1.5034965034965038,936.5230267408324,821.1388984387886,-66.79621352068915
46,1.5369075369075371,932.7920739256614,822.8878524472661,-66.18726340864407
47,1.5703185703185705,955.8377522323875,860.8268793374768,-66.18024093816774
48,1.603729603729604,948.7072598966977,837.6949932286561,-66.63256601956527
49,1.6371406371406374,945.3172790718928,829.6773047492875,-67.21702852474397
50,1.6705516705516708,947.0242104719988,840.1724171737292,-66.64396355742844
51,1.703962703962704,931.8839485605208,823.9106290382247,-67.56575770291687
52,1.7373737373737377,926.7784687161438,807.7027780647809,-67.05643396691494
53,1.770784770784771,922.263769564809,822.9522683828827,-67.7445517193953
54,1.8041958041958044,929.7280828847303,850.8692317267614,-67.62354010255882
55,1.8376068376068377,942.1526215541563,880.6705089111783,-66.6490371180115
56,1.8710178710178713,918.138873284525,832.4294030977076,-66.86618050074384
57,1.9044289044289047,930.4720228854009,855.503523664926,-67.38167686093675
58,1.937839937839938,925.2630874434811,852.4743243738653,-67.00606715667737
59,1.9712509712509716,930.7351141865865,858.6348794395522,-67.42406727051178
60,2.0046620046620047,923.3893799490809,877.0202164718235,-66.95140999326895
61,2.0380730380730383,930.8581949362195,875.9045205034295,-67.90826892466043
62,2.071484071484072,930.4083483717385,876.0533768408068,-67.9081443655308
63,2.104895104895105,915.3305074294374,830.6358397000727,-66.8383337028215
64,2.1383061383061386,939.9137134925209,872.4377781966482,-67.5547243476845
65,2.171717171717172,926.6722791365825,879.7998949833668,-67.97070332070604
66,2.2051282051282053,928.5032066393593,890.3192607961028,-66.72217360705002
67,2.238539238539239,928.57338783636,890.22836206395,-67.37504914576499
68,2.2719502719502724,935.5215316831199,922.6616554995185,-68.03620515308637
69,2.3053613053613056,935.7129933278238,922.9844307064386,-68.02219345715218
70,2.338772338772339,930.2499040789587,910.6829344601147,-67.90187371420865
71,2.3721833721833723,929.1288995248951,910.5669227898957,-67.88307271167969
72,2.405594405594406,921.4574525995376,918.8174558994183,-68.24657081750581
73,2.4390054390054394,942.9286811145907,954.0139230946902,-67.8953581191546
74,2.4724164724164726,940.2634289330016,933.6628293214826,-68.41494488750271
75,2.505827505827506,934.8912604643284,916.9793736235711,-69.43762459096263
76,2.5392385392385397,947.0583972292675,967.7733429058724,-68.22603161882085
77,2.572649572649573,929.2224109284218,938.1350924208427,-69.00154376846274
78,2.6060606060606064,941.0492622446109,959.7685549890848,-69.21311100552418
79,2.63947163947164,948.1295234769754,985.9975416374064,-69.07300675421425
80,2.672882672882673,941.9665287747652,966.2311388214348,-68.35561446269458
81,2.7062937062937067,942.4520335274696,974.2783756816377,-69.47842041821298
82,2.7397047397047403,914.5739085853253,948.4447624549211,-69.57897508243599
83,2.7731157731157734,937.4895656211941,995.8288897072691,-69.35884204776227
84,2.806526806526807,942.434334607013,988.4580364278488,-69.15092310340486
85,2.83993783993784,935.2905885923767,983.343085550259,-68.95125517355666
86,2.8733488733488737,930.3681855549157,968.7702646233572,-68.79002896534723
87,2.9067599067599073,947.0642585602885,1004.7253470232799,-69.78541302349839
88,2.9401709401709404,959.5411122370982,1014.8999442927918,-69.2101384076924
89,2.973581973581974,939.7947668970407,1018.2845284421446,-69.96660304962802
90,3.0069930069930075,939.2935924641592,1020.8056594232203,-69.99935223639852
91,3.0404040404040407,942.1007968079796,1010.4808242266733,-69.47539110781855
92,3.0738150738150742,931.8873591739525,1005.6762912968113,-70.05986141558475
93,3.107226107226108,929.3533084931008,1001.0004585053637,-70.40068510456325
94,3.140637140637141,919.8761882039813,951.2954654235991,-70.26511586705828
95,3.1740481740481745,927.2721114675128,995.2886673036357,-69.64842779632806
96,3.207459207459208,934.179304309468,1027.061118248445,-70.34417360347481
97,3.2408702408702412,925.112017851367,1000.1793181004521,-69.69593403998562
98,3.274281274281275,925.0977235845186,1025.5189599946393,-70.69209140632898
99,3.307692307692308,923.933592749631,1025.5888825352922,-70.70719374723075
100,3.3411033411033415,942.0325374536466,1035.2058470733114,-71.13878219390216
101,3.374514374514375,934.5859313635634,1049.6585827076594,-70.90094733927629
102,3.407925407925408,933.7783178064183,1029.8315354605113,-70.90556116055541
103,3.441336441336442,933.3836907521707,1023.6164620297805,-70.40231959587317
104,3.4747474747474754,940.9716361053551,1073.991591163034,-71.14006598648092
105,3.5081585081585085,934.6695330183658,1054.6394694362955,-71.0031496001223
106,3.541569541569542,927.7745172232319,1041.574077171853,-70.85283573900671
107,3.5749805749805756,925.2261239713368,1036.9363791719645,-71.8291516984599
108,3.6083916083916088,931.6777330876135,1060.255700860186,-71.35566767355323
109,3.6418026418026423,933.4477809314949,1074.1627469815378,-71.63067938496823
110,3.6752136752136755,927.8527449663476,1057.6073629999262,-72.3658053118258
111,3.708624708624709,932.2839356277944,1078.158007310286,-72.18720480963361
112,3.7420357420357426,929.585957680217,1068.8449078536298,-71.75082492815875
113,3.7754467754467758,929.2189101002467,1097.844448034832,-71.76728096522112
114,3.8088578088578093,921.5562387096743,1078.6152944127944,-72.55276862780761
115,3.842268842268843,931.539118442067,1114.8343536027833,-72.28788601281389
116,3.875679875679876,925.9110542427278,1100.265504618817,-71.85205068832977
117,3.9090909090909096,923.126754902689,1095.3127276890787,-72.85038317665408
118,3.942501942501943,921.7175906546487,1074.3270753142583,-72.74314828403931
119,3.9759129759129763,908.9103729852494,1074.1000772556945,-73.31567101118526
120,4.0093240093240095,914.6174377029577,1094.6382339456143,-73.13640405496574
121,4.0427350427350435,907.720789559629,1108.626554975492,-72.88282841010158
122,4.076146076146077,920.3699611042886,1107.1752364971749,-72.7883901041007
123,4.10955710955711,920.9510563670715,1108.9004101527503,-72.49733419472909
124,4.142968142968144,917.9537865536238,1103.0297565205135,-73.19870178228928
125,4.176379176379177,926.8916229945735,1139.7069730919438,-73.22478702686055
126,4.20979020979021,932.9561431023084,1161.4820102062135,-72.75901683343926
127,4.243201243201244,925.5207620323682,1142.8187320866593,-73.54180606436398
128,4.276612276612277,937.7401584973187,1163.8849587162974,-73.2992664717126
129,4.31002331002331,915.492304761549,1124.823319278899,-74.03419960506676
130,4.343434343434344,926.0063342315003,1162.454669653911,-74.04086416234884
131,4.3768453768453774,931.3518363322845,1179.4123796781241,-74.32619084294134
132,4.410256410256411,926.5672845109086,1165.471293283216,-74.09362314643471
133,4.443667443667445,924.4026887011962,1166.0252441870844,-74.39831739903599
134,4.477078477078478,924.5292858326383,1170.2291034272857,-74.14917998608985
135,4.510489510489511,922.3566221839303,1167.2870208079496,-73.92938311749867
136,4.543900543900545,934.8950776249475,1188.7372150123751,-74.75613118163267
137,4.577311577311578,929.4122384516377,1176.95035975547,-74.56150870258261
138,4.610722610722611,933.7192054556964,1192.3986311241542,-74.5089519615126
139,4.644133644133645,931.2316324830505,1192.1786289338033,-74.83114443740499
140,4.677544677544678,935.3279029946461,1215.7109607203834,-74.58299179413052
141,4.710955710955711,921.3639961792228,1178.1989624488735,-74.63586102302571
142,4.7443667443667445,930.2402431400454,1210.1777615773647,-75.39535208700721
143,4.777777777777779,919.778823429916,1180.4920899441452,-74.65873277216735
144,4.811188811188812,918.9776772723513,1197.3099368717762,-75.44127600881137
145,4.844599844599845,923.0541485444328,1200.5772904665332,-75.43838334083011
146,4.878010878010879,927.7941212757645,1217.525296341278,-76.22586500317493
147,4.911421911421912,902.7046134605416,1186.7613446142661,-76.47104532101719
